ds,yhat,yhat_lower,yhat_upper,Kategori,y_base,ss_base,out_base,y_shock,ss_shock,out_shock,y_cost,ss_cost,out_cost
2026-01-01,334.78345432183,235.42275096015038,433.1818125355566,Engelsk fiksjon,318.82345432183,83.48951606013168,402.3129703819617,318.82345432183,100.18741927215801,419.01087359398804,318.82345432183,66.79161284810534,385.61506716993534
2026-02-01,272.53756664394433,172.3417765406797,374.55110682543796,Engelsk fiksjon,256.57756664394435,86.55694318429762,343.13450982824196,256.57756664394435,103.86833182115714,360.4458984651015,256.57756664394435,69.2455545474381,325.8231211913825
2026-03-01,345.57710109691834,246.9265154372006,446.47534182963824,Engelsk fiksjon,329.61710109691836,85.61062850048961,415.227729597408,329.61710109691836,102.73275420058754,432.3498552975059,329.61710109691836,68.48850280039169,398.10560389731006
2026-04-01,293.80975489797595,198.89698690906786,391.00296497307033,Engelsk fiksjon,277.84975489797597,82.46696612432251,360.31672102229845,277.84975489797597,98.96035934918702,376.81011424716297,277.84975489797597,65.973572899458,343.823327797434
2026-05-01,357.95286834548097,263.2218990939488,461.2541565646803,Engelsk fiksjon,341.992868345481,87.64957788295699,429.64244622843796,409.777868345481,105.17949345954838,514.9573618050294,341.992868345481,70.1196623063656,412.11253065184655
2026-06-01,339.75416115921723,243.59010646242632,437.5327194194575,Engelsk fiksjon,323.79416115921725,82.96362519050692,406.75778634972414,323.79416115921725,99.5563502286083,423.3505113878256,323.79416115921725,66.37090015240554,390.1650613116228
2026-07-01,475.12551718594005,374.4779043237627,578.1175767529402,Engelsk fiksjon,459.1655171859401,87.3872020568486,546.5527192427887,459.1655171859401,104.8646424682183,564.0301596541584,459.1655171859401,69.90976164547888,529.0752788314189
2026-08-01,327.16983206081875,230.4478763615399,434.91146068663164,Engelsk fiksjon,311.20983206081877,91.41713944008367,402.6269715009024,311.20983206081877,109.7005673281004,420.9103993889192,311.20983206081877,73.13371155206694,384.3435436128857
2026-09-01,325.0411676391449,224.87844873086405,421.2551456687208,Engelsk fiksjon,309.0811676391449,81.63610257054926,390.71727020969416,309.0811676391449,97.96332308465911,407.044490723804,309.0811676391449,65.3088820564394,374.3900496955843
2026-10-01,297.99266621277576,202.8784115456584,388.37320374749606,Engelsk fiksjon,282.0326662127758,76.68651669612632,358.7191829089021,282.0326662127758,92.02382003535158,374.0564862481274,282.0326662127758,61.34921335690106,343.3818795696768
2026-11-01,339.44483265575764,238.28800573385288,435.94352319373996,Engelsk fiksjon,323.48483265575766,81.87767682010622,405.3625094758639,323.48483265575766,98.25321218412746,421.7380448398851,323.48483265575766,65.50214145608497,388.98697411184264
2026-12-01,401.22376776021815,301.60826341576694,493.8490910319797,Engelsk fiksjon,385.2637677602182,78.59118338210071,463.8549511423189,453.0487677602182,94.30942005852084,547.358187818739,385.2637677602182,62.87294670568057,448.13671446589876
2026-01-01,336.195940261454,309.0415763754121,361.4453822799973,Norsk krim,347.97594026145396,27.544845838410914,375.5207860998649,347.97594026145396,33.053815006093096,381.02975526754705,347.97594026145396,22.035876670728733,370.0118169321827
2026-02-01,339.6923759638307,311.3349339047764,366.7064448018349,Norsk krim,351.4723759638307,29.469893277822727,380.94226924165343,351.4723759638307,35.36387193338727,386.83624789721796,351.4723759638307,23.575914622258182,375.0482905860889
2026-03-01,372.42089898923894,347.79804440567403,399.41967964422525,Norsk krim,384.2008989892389,29.45321525998508,413.654114249224,384.2008989892389,35.343858311982096,419.544757301221,384.2008989892389,23.562572207988065,407.763471197227
2026-04-01,390.30382823731463,364.036830500472,415.52170324470234,Norsk krim,402.0838282373146,27.51040909896841,429.594237336283,402.0838282373146,33.01249091876209,435.0963191560767,402.0838282373146,22.00832727917473,424.09215551648936
2026-05-01,396.05411724396066,371.74474375790976,423.63376454857894,Norsk krim,407.83411724396063,30.08688796867449,437.9210052126351,436.13411724396065,36.10426556240939,472.23838280637005,407.83411724396063,24.069510374939593,431.9036276189002
2026-06-01,414.2053767749411,389.25664509403555,440.4554335372234,Norsk krim,425.9853767749411,28.63642555885345,454.6218023337945,425.9853767749411,34.36371067062414,460.3490874455652,425.9853767749411,22.909140447082763,448.89451722202386
2026-07-01,508.38201804956316,483.02381328012126,536.1001761228381,Norsk krim,520.1620180495631,30.237990625390843,550.4000086749539,520.1620180495631,36.28558875046901,556.4476068000322,520.1620180495631,24.190392500312676,544.3524105498758
2026-08-01,475.6265475680637,450.45734597732707,501.2988058432841,Norsk krim,487.4065475680637,28.006099936604045,515.4126475046677,487.4065475680637,33.607319923924855,521.0138674919885,487.4065475680637,22.404879949283238,509.8114275173469
2026-09-01,415.5806538417733,389.9102162129599,442.29691233686736,Norsk krim,427.3606538417733,29.145009267375332,456.5056631091486,427.3606538417733,34.9740111208504,462.33466496262366,427.3606538417733,23.316007413900266,450.67666125567354
2026-10-01,408.65979196001643,380.46211532738016,433.74742188620803,Norsk krim,420.4397919600164,27.368323555845382,447.8081155158618,420.4397919600164,32.84198826701446,453.2817802270309,420.4397919600164,21.894658844676307,442.3344508046927
2026-11-01,380.41015848765596,354.5696811188126,406.61528102671434,Norsk krim,392.19015848765594,28.58740640624551,420.77756489390146,392.19015848765594,34.30488768749461,426.49504617515055,392.19015848765594,22.86992512499641,415.06008361265236
2026-12-01,507.96538787005557,480.9992718802711,534.7300807331067,Norsk krim,519.7453878700555,29.19784675969211,548.9432346297476,548.0453878700555,35.03741611163053,583.082803981686,519.7453878700555,23.35827740775369,543.1036652778092
2026-01-01,265.87646812178923,237.02032861467504,292.88200079349525,Norske barnebøker,265.18646812178923,24.550484247005475,289.73695236879473,265.18646812178923,29.460581096406568,294.6470492181958,265.18646812178923,19.640387397604382,284.82685551939363
2026-02-01,222.15888935942587,194.12436791132257,248.63979043981885,Norske barnebøker,221.46888935942587,24.073546436720896,245.54243579614678,221.46888935942587,28.888255724065075,250.35714508349093,221.46888935942587,19.258837149376717,240.7277265088026
2026-03-01,241.17082192792742,214.76587360383428,269.5216097546075,Norske barnebøker,240.48082192792742,25.773443478800058,266.2542654067275,240.48082192792742,30.92813217456007,271.4089541024875,240.48082192792742,20.618754783040046,261.0995767109675
2026-04-01,253.88743589132673,223.50008850685853,281.27617796101924,Norske barnebøker,253.19743589132673,24.898856426993195,278.0962923183199,253.19743589132673,29.878627712391832,283.0760636037186,253.19743589132673,19.919085141594557,273.1165210329213
2026-05-01,290.4676137705849,262.45647283521043,319.913577045639,Norske barnebøker,289.7776137705849,26.769057522776468,316.5466712933613,309.6276137705849,32.12286902733176,341.7504827979167,289.7776137705849,21.415246018221175,311.19285978880606
2026-06-01,285.9588934676959,258.8268858870939,314.02699806449806,Norske barnebøker,285.2688934676959,25.516458724365627,310.7853521920615,285.2688934676959,30.619750469238753,315.8886439369346,285.2688934676959,20.4131669794925,305.6820604471884
2026-07-01,348.6265866350752,320.1996978479695,377.69084293944536,Norske barnebøker,347.93658663507523,26.422051185791034,374.35863782086625,347.93658663507523,31.70646142294924,379.6430480580245,347.93658663507523,21.13764094863283,369.0742275837081
2026-08-01,352.2801908566894,325.352249936399,379.9136342673122,Norske barnebøker,351.5901908566894,25.12131219147529,376.7115030481647,351.5901908566894,30.145574629770348,381.73576548645974,351.5901908566894,20.097049753180233,371.6872406098696
2026-09-01,292.68668555113015,263.855243507059,320.88734546325026,Norske barnebøker,291.99668555113016,25.63696355647282,317.633649107603,291.99668555113016,30.764356267767383,322.7610418188975,291.99668555113016,20.50957084517826,312.5062563963084
2026-10-01,306.148355498408,278.655768622256,335.80509733013304,Norske barnebøker,305.458355498408,26.960674392477287,332.4190298908853,305.458355498408,32.35280927097274,337.81116476938075,305.458355498408,21.568539513981833,327.02689501238984
2026-11-01,264.7030258493049,236.03070204586908,291.76275520492635,Norske barnebøker,264.0130258493049,24.599753959655885,288.6127798089608,264.0130258493049,29.51970475158706,293.53273060089197,264.0130258493049,19.67980316772471,283.69282901702957
